Redump_Name,Hardware_Designation,Company_Code,Build_Date,Domestic_Game_Title,Overseas_Game_Title,Disc_Type,Product_Number,Version,I/O_Devices,Region
3 Ninjas Kick Back (USA),SEGA GENESIS,(C)T-93,1994.DEC,3 NINJAS KICK BACK,3 NINJAS KICK BACK,GM,T-93175,0,J         ,U               
A-Rank Thunder - Tanjou-hen (Japan),SEGA MEGA DRIVE,(C)T-49,1993.nnn,Ａランク　サンダー　誕生編,A-Rank Thunder,GM,T-49064,0,J         ,J               
A-X-101 (USA) (RE),SEGA GENESIS,(C)T-86,1994.SEP,AX-101,A/X-101,GM,T-86015,0,J         ,U               
"Adventures of Batman and Robin, The (Europe)",SEGA MEGADRIVE,(C)SEGA,1995.OCT,ADVENTURES OF BA,ADVENTURES OF BA,GM,MK-4432,50,J         ,E               
"Adventures of Batman and Robin, The (USA)",SEGA GENESIS,(C)SEGA,1995.JUL,ADVENTURES OF BA,ADVENTURES OF BA,GM,MK-4432,0,J         ,U               
"Adventures of Willy Beamish, The (USA)",SEGA GENESIS,(C)T-32,1992.DEC,WILLY BEAMISH,WILLY BEAMISH,GM,T-6300,1,J         ,U               
"Adventures of Willy Beamish, The (USA) (Alt)",SEGA GENESIS,(C)T-32,1992.DEC,WILLY BEAMISH,WILLY BEAMISH,GM,T-6300,1,J         ,U               
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.SEP,AFTER ARMAGEDDON,,GM,G-6026,0,J         ,J               
After Burner III (Europe),SEGA MEGA DRIVE,(C)T-68,1993.APR,AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,GM,MK-4415,0,J6        ,E               
After Burner III (Japan),SEGA MEGA DRIVE,(C)T-68,1992.NOV,AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,GM,T-68014,0,JA        ,J               
After Burner III (USA),SEGA CD,(C)T-68,1993.APR,AFTER BURNER III BY CRI,AFTER BURNER III BY CRI,GM,MK-4415,0,J6        ,U               
AH3 - Thunderstrike (USA),SEGA GENESIS,(C)T-60,1993.SEP,AH3-THUNDERSTRIKE,AH3-THUNDERSTRIKE,GM,T-60055,0,J         ,U               
Aisle Lord (Japan),SEGA MEGA DRIVE,(C)T-32,1992.MAR,アイル・ロード,AISLEÑLORD ,GM,T-32044,1,J         ,J               
Alshark (Japan),SEGA MEGA DRIVE,(C)T-92,1993.SEP,ALSHARK,ALSHARK,GM,T-92014,0,J         ,J               
"Amazing Spider-Man vs. The Kingpin, The (Europe)",SEGA MEGA DRIVE,(C)SEGA,1993.NOV,SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,GM,MK-4412,0,J         ,E               
"Amazing Spider-Man vs. The Kingpin, The (USA)",SEGA GENESIS,(C)SEGA,1993.AUG,SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,GM,MK-4412,0,J         ,U               
"Amazing Spider-Man vs. The Kingpin, The (USA) (Rev 1)",SEGA GENESIS,(C)SEGA,1993.NOV,SPIDERMAN VS THE KINGPIN CD,SPIDERMAN VS THE KINGPIN CD,GM,MK-4412,1,J         ,U               
Android Assault - The Revenge of Bari-Arm (USA),SEGA GENESIS,(C)T-163,1994AUG,BARI_ARM,BARI_ARM,GM,T-163015,0,J         ,U               
Annett Futatabi (Japan),SEGA MEGA DRIVE,(C)T-32,1993.FEB,ANNET,ANNET,GM,T-32104,0,J         ,J               
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),SEGA MEGA DRIVE,(C)T-76,1993.AUG,蒼き狼と白き牝鹿・元朝秘史,Ghenghis Khan 2,GM,T-76054,0,J         ,J               
"Arcus I, II, III (Japan)",SEGA MEGA DRIVE,(C)TELENET JAPAN/WOLF TEAM,1993.MAY,アークスⅠ・Ⅱ・Ⅲ,ARCUS1-2-3,GM,T-32094,0,J         ,J               
Arslan Senki (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.AUG,THE_HEROIC_REGEND_OF_ARSLAN,,GM,G-6028,0,J         ,J               
AX-101 (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.MAR,AX-101,AX-101,GM,G-6031,0,J         ,J               
Bakuden - The Unbalanced Zone (Japan),SEGA MEGA DRIVE,(C)T-SR,1994.APR,爆伝　～アンバランス・ゾーン～,,GM,T-145014,0,J         ,J               
Bari-Arm (Japan),SEGA MEGA DRIVE,(C)T-43,1993.AUG,BARI_ARM,BARI_ARM,GM,T-43024,0,J         ,J               
Batman Returns (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.APR,BATMAN RETURNS,BATMAN RETURNS,GM,MK-4401,0,J         ,E               
Batman Returns (Europe) (Alt),SEGA MEGA DRIVE,(C)SEGA,1993.APR,BATMAN RETURNS,BATMAN RETURNS,GM,MK-4401,0,J         ,E               
Batman Returns (USA),SEGA GENESIS,(C)SEGA,1993.APR,BATMAN RETURNS,BATMAN RETURNS,GM,MK-4401,0,J         ,U               
Batman Returns (USA) (Alt),SEGA GENESIS,(C)SEGA,1993.APR,BATMAN RETURNS,BATMAN RETURNS,GM,MK-4401,0,J         ,U               
Battle Fantasy (Japan) (Rev A),SEGA MEGA DRIVE,(C)T-22,1994.JAN,BATTLE FANTASY,BATTLE FANTASY,GM,T-22044,0,J         ,J               
Battle Frenzy (USA) (Unl),SEGA GENESIS,(C)T-88,1995.MAR,BATTLE FRENZY (C) 1994 DOMARK,BATTLE FRENZY (C) 1994 DOMARK,GM,T-88035,0,J6        ,UE              
Battlecorps (Europe) (Demo),SEGA MEGA DRIVE,(C)T-60,1993.SEP,ANON,ANON,GM,T-0002-0,,J         ,E               
"Battlecorps (Europe) (En,Fr,De,Es)",SEGA MEGA DRIVE,(C)T-60,1993.SEP,JAGUAR XJ220,JAGUAR XJ220,GM,MK-4602,0,J6        ,E               
Battlecorps (Japan),SEGA MEGA DRIVE,(C)T-60,1994.SEP,BATTLECORPS,BATTLECORPS,GM,T-60194-,0,J6        ,J               
Battlecorps (USA),SEGA GENESIS,(C)T-115,1994.SEP,BATTLECORPS,BATTLECORPS,GM,T-115045,,J6        ,U               
BC Racers (Europe) (Demo) (Green Disc),SEGA MEGA DRIVE,(C)T-115,1994.NOV,BCRACERS,BCRACERS,GM,T-115085,,J6        ,E               
BC Racers (Europe) (Demo) (Yellow Disc),SEGA MEGA DRIVE,(C)T-115,1994.NOV,BCRACERS,BCRACERS,GM,T-115075,0,J6        ,E               
"BC Racers (Europe) (En,Fr,De)",SEGA MEGA DRIVE,(C)T-115,1994.NOV,BCRACERS,BCRACERS,GM,T-115075,0,J6        ,E               
BC Racers (USA),SEGA GENESIS,(C)T-115,1994.NOV,BCRACERS,BCRACERS,GM,T-115075,0,J6        ,U               
Beast II (Europe),SEGA MEGA DRIVE,(C)T-113,1994.JUL,SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,GM,T-113045,0,J         ,E               
Beast II (Europe) (Demo),SEGA MEGA DRIVE,(C)T-113,1994.MAY,SHADOW OF THE BEAST TWO,SHADOW OF THE BEAST TWO,GM,T-113045,1,J         ,E               
Bill Walsh College Football (Europe),SEGA MEGA DRIVE,(C)T-50,1993.OCT,BILL WALSH COLLEGE FOOTBALL,BILL WALSH COLLEGE FOOTBALL,GM,T-50025,0,J         ,E               
Bill Walsh College Football (USA),SEGA GENESIS,(C)T-50,1993.OCT,BILL WALSH COLLEGE FOOTBALL,BILL WALSH COLLEGE FOOTBALL,GM,T-50025,0,J         ,U               
Black Hole Assault (Japan),SEGA MEGA DRIVE,(C)T-22,1992.SEP,BLACKHOLE ASSAULT,BLACKHOLE ASSAULT,GM,T-22024-,0,J         ,J               
Blackhole Assault (Europe),SEGA MEGA DRIVE,(C)T-22,1992.OCT,BLACKHOLE ASSAULT,BLACKHOLE ASSAULT,GM,T-6400,,J         ,U               
Blackhole Assault (USA),SEGA MEGA DRIVE,(C)T-22,1992.OCT,BLACKHOLE ASSAULT,BLACKHOLE ASSAULT,GM,T-6400,,J         ,U               
Blackhole Assault (USA) (Alt),SEGA MEGA DRIVE,(C)T-22,1992.OCT,BLACKHOLE ASSAULT,BLACKHOLE ASSAULT,GM,T-6401,,J         ,U               
"Bloodshot (Europe) (En,Fr,De,Es)",SEGA MEGADRIVE,(C)T-88,1995.MAR,BLOODSHOT (C) 1994 DOMARK SOFT,BLOODSHOT (C) 1994 DOMARK SOFT,GM,T-88045,50,J6        ,UE              
Bouncers (USA),SEGA GENESIS,(C)T-110,1994.OCT,BOUNCERS,BOUNCERS,GM,MK-4908-,0,J4        ,U               
Bram Stoker's Dracula (USA),SEGA MEGA DRIVE,(C)SEGA,1992.FEB,BRAM STOKERS DRACULA,BRAM STOKERS DRACULA,GM,T-60064,0,J         ,JUE             
Bram Stoker's Dracula (USA) (Alt 1),SEGA MEGA DRIVE,(C)SEGA,1992.FEB,BRAM STOKERS DRACULA,BRAM STOKERS DRACULA,GM,T-60064,0,J         ,JUE             
Bram Stoker's Dracula (USA) (Alt 2),SEGA MEGA DRIVE,(C)SEGA,1992.FEB,BRAM STOKERS DRACULA,BRAM STOKERS DRACULA,GM,T-60064,0,J         ,JUE             
Bram Stoker's Dracula (USA) (Version 2.0),SEGA GENESIS,T-93,1994.APR,BRAM STOKERS DRACULA,BRAM STOKERS DRACULA,GM,T-93065,0,J         ,U               
"Brutal - Paws of Fury (Europe) (En,Fr,De)",SEGA MEGADRIVE,(C)T-83,1994.OCT,BRUTAL PAWS OF FURY,BRUTAL PAWS OF FURY,GM,T-83015,50,6,E               
Brutal - Paws of Fury (USA),SEGA GENESIS,(C)T-83,1994.JUL,BRUTAL PAWS OF FURY,BRUTAL PAWS OF FURY,GM,T-83015,0,J         ,U               
Bug Blasters - The Exterminators (USA) (Unl) (Rerelease),SEGA GENESIS,(C)SEGA,1994.DEC,EXTERMINATORS,EXTERMINATORS,GM,MK-4439,0,J         ,U               
Burai - Yatsudama no Yuushi Densetsu (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.JUL,BURAI MEGA-CD  BY SEGA,BURAI MEGA-CD  BY SEGA,GM,G-6004-0,,J         ,J               
Burning Fists - Force Striker (USA) (Unl),SEGA MEGA DRIVE,(C)SEGA,1993.OCT,BURNING  FISTS,Burning  Fists,GM,T-60064,0,J         ,J               
"Cadillacs and Dinosaurs - The Second Cataclysm (USA, Brazil) (RE)",SEGA GENESIS,(C)T-153,94.NOV,CADILLACS & DINOSAURS - THE SE,CADILLACS & DINOSAURS - THE SE,GM,T-153035,0,J         ,U               
Captain Tsubasa (Japan),SEGA MEGA DRIVE,(C)T-36,1994.SEP,SEGA MEGA CD   キャプテン翼,CAPTAIN TSUBASA,GM,T-36014,0,J         ,J               
CD Sonic the Hedgehog (Japan) (Beta) (1992-12-04),SEGA MEGA DRIVE,(C)SEGA,1993.APR,CD-SONIC THE HEDGEHOG,CD-SONIC THE HEDGEHOG,XX,0,0,J         ,J               
CD Sonic the Hedgehog (Japan) (Beta) (1993-05-13),SEGA MEGA DRIVE,(C)SEGA,1993.APR,CD-SONIC THE HEDGEHOG,CD-SONIC THE HEDGEHOG,XX,0,0,J         ,J               
CD Sonic the Hedgehog (Japan) (Beta) (1993-06-21),SEGA MEGA DRIVE,(C)SEGA,1993.APR,CD-SONIC THE HEDGEHOG,CD-SONIC THE HEDGEHOG,XX,0,0,J         ,J               
"Championship Soccer '94 (USA) (En,Fr,De,It)",SEGA GENESIS,(C)T-93,1994.JUL,CHAMPIONSHIP SOCCER 94,SENSIBLE SOCCER INTERNATIONAL,GM,T-93185,0,J         ,U               
Chuck Rock (Europe),SEGA MEGA DRIVE,(C)T-98,1993.APR,CHUCK ROCK,CHUCK ROCK,GM,T-93045,0,J         ,E               
Chuck Rock (USA),SEGA GENESIS,(C)T-98,1992.DEC,CHUCK ROCK,CHUCK ROCK,GM,T-06204,56,J         ,U               
Chuck Rock II - Son of Chuck (Europe),SEGA MEGA DRIVE,(C)T-60,1993.SEP,CHUCKROCK2,CHUCKROCK2,GM,T-115025,0,J         ,E               
Chuck Rock II - Son of Chuck (USA),SEGA GENESIS,(C)T-07,1993.JAN,CHUCK_ROCK_2,CHUCK_ROCK_2,GM,T-70045,0,J         ,U               
Cliffhanger (USA),SEGA GENESIS,(C)T-93,1993.NOV,CLIFFHANGER,CLIFFHANGER,GM,T-93075,1,J         ,U               
Cobra Command (Europe),SEGA MEGA DRIVE,(C)T-32,1992.OCT,THUNDER STORM,COBRA COMMAND,GM,MK-4402,0,J         ,E               
Cobra Command (USA),SEGA MEGA DRIVE,(C)T-32,1992.OCT,THUNDER STORM,COBRA COMMAND,GM,MK-4402,,J         ,U               
"Colors of Modern Rock, The (USA)",SEGA GENESIS,(C)SEGA,1993.MAR,VIRTUAL VCR -- THE COLORS OF M,VIRTUAL VCR -- THE COLORS OF M,GM,WCM-9302,0,J         ,U               
Compton's Interactive Encyclopedia (USA) (Version 2.00S),SEGA GENESIS,(C)SEGA,1993.MAY,SEGA CD SAMPLE APP. WRITTEN BY,SEGA CD SAMPLE APP. WRITTEN BY,GM,MK-xxxx,0,J         ,U               
Compton's Interactive Encyclopedia (USA) (Version 2.01R),SEGA GENESIS,(C)T-118,1994.OCT,COMPTONS INTERACTIVE ENCYCLOPE,COMPTONS INTERACTIVE ENCYCLOPE,GM,T-118025,0,J         ,U               
Compton's Interactive Encyclopedia (USA) (Version 2.01S),SEGA GENESIS,(C)T-188,1994.MAY,COMPTONS INTERACTIVE ENCYCLOPE,COMPTONS INTERACTIVE ENCYCLOPE,GM,T-118015,0,J         ,U               
Compton's Interactive Encyclopedia (USA) (Version 2.10) (RE2),SEGA GENESIS,(C)T-188,1994.SEP,COMPTONS INTERACTIVE ENCYCLOPE,COMPTONS INTERACTIVE ENCYCLOPE,GM,T-118015,1,J         ,U               
Corpse Killer (Europe),SEGA MEGA DRIVE,(C)T-162,1995.FEB,CORPSE KILLER,CORPSE KILLER,GM,T-162055,50,JG        ,8
Corpse Killer (Europe) (Mega-CD 32X),SEGA 32X,(C)SEGA,1995.FEB,CORPSE KILLER 32X,CORPSE KILLER 32X,GM,T-16201F,50,JG        ,8
Corpse Killer (USA),SEGA GENESIS,(C)T-162,1994.NOV,CORPSE KILLER,CORPSE KILLER,GM,T-162055,0,JG        ,U               
Corpse Killer (USA) (Sega CD 32X),SEGA 32X,(C)T-162,1994.DEC,CORPSE KILLER 32X,CORPSE KILLER 32X,GM,T-16201F,0,JG        ,U               
Cosmic Fantasy Stories (Japan),SEGA MEGA DRIVE,(C)T-49,1992.FEB,COSMIC FANTASY  STORIES,Cosmic Fantasy Stories,GM,T-49014,0,J         ,J               
Crime Patrol (USA),SEGA GENESIS,(C)T-111,1994.DEC,CRIME PATROL,CRIME PATROL,GM,T-111055,0,JMG       ,U               
Cyborg 009 (Japan),SEGA MEGA DRIVE,(C)T-49,1992.MAR,CYBORG 009,CYBORG 009,GM,T-49054,0,J         ,J               
Daihoushinden (Japan),SEGA MEGA DRIVE,(C)T-60,1994.DEC,DAIHOSINDEN,DAIHOSINDEN,GM,T-60024,0,J         ,J               
Dark Wizard (USA),SEGA GENESIS,(C)SEGA,1994.MAR,DARK WIZARD        9/3-1994,DARK WIZARD,GM,MK-4651,0,J         ,U               
Dark Wizard - Yomigaerishi Yami no Madoushi (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,DARK WIZARD,DARK WIZARD,GM,G-6005,0,J         ,J               
Death Bringer (Japan),SEGA MEGA DRIVE,(C)T-49,1992.MAR,DEATH BRINGER,DEATH BRINGER,GM,T-49034,0,J         ,J               
Demolition Man (USA),SEGA GENESIS,(C)T-81,1995.JUL,DEMOLITION MAN,DEMOLITION MAN,GM,T-81045,0,J         ,U               
Dennin Aleste - Nobunaga and His Ninja Force (Japan),SEGA MEGA DRIVE,(C)T-66,1992.NOV,電忍アレスタ,,GM,T-66014,0,J         ,J               
Detonator Orgun (Japan),SEGA MEGA DRIVE,(C)SEGA,1992.JUN,デトネイター・オーガン,DETONATOR ORGUN,GM,T-28014,0,J         ,J               
Devastator (Japan),SEGA MEGA DRIVE,(C)T-32,1993.APR,DEVASTATOR,DEVASTATOR,GM,T-32074,0,J         ,J               
Double Switch (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.DEC,DOUBLE SWITCH,DOUBLE SWITCH,GM,MK-4419,0,J         ,E               
Double Switch (Japan),SEGA MEGA DRIVE,(C)SEGA,1994.DEC,DOUBLE SWITCH,DOUBLE SWITCH,GM,G-6040,0,J         ,J               
Double Switch (USA),SEGA GENESIS,(C)SEGA,1993.NOV,DOUBLE SWITCH,DOUBLE SWITCH,GM,MK-4419,0,J         ,U               
Dracula Unleashed (Europe) (Disc 1) (Made in E.U.),SEGA GENESIS,(C)SEGA,1994.APR,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,E               
Dracula Unleashed (Europe) (Disc 1) (Made in Japan),SEGA GENESIS,(C)SEGA,1994.APR,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,E               
Dracula Unleashed (Europe) (Disc 2) (Made in E.U.),SEGA GENESIS,(C)SEGA,1994.APR,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,E               
Dracula Unleashed (Europe) (Disc 2) (Made in Japan),SEGA GENESIS,(C)SEGA,1994.APR,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,E               
Dracula Unleashed (USA) (Disc 1),SEGA GENESIS,(C)SEGA,1993 NOV,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,U               
Dracula Unleashed (USA) (Disc 2),SEGA GENESIS,(C)SEGA,1993 NOV,DRACULA UNLEASHED,DRACULA UNLEASHED,GM,MK-4420,0,J         ,U               
"Dragon's Lair (Europe) (En,Fr,De,It)",SEGA MEGADRIVE,(C)T-121,,DRAGONS LAIR,DRAGONS LAIR,GM,MK-4436,0,J         ,E               
"Dragon's Lair (Japan) (En,Ja,Fr,De,It)",SEGA MEGADRIVE,(C)T-121,,DRAGONS LAIR,DRAGONS LAIR,GM,G-6035,0,J         ,J               
Dragon's Lair (USA),SEGA GENESIS,(C)T-121,,DRAGONS LAIR,DRAGONS LAIR,GM,T-121015,0,J         ,U               
"Dune (Europe) (En,Fr,De,Es,It)",SEGA MEGA DRIVE,(C)VRGN,1994.APR,DUNE,DUNE,GM,T-70065,0,J         ,E               
"Dune (USA) (En,Fr,De,Es,It)",SEGA GENESIS,(C)T-70,1994.SEP,DUNE THE GAME,DUNE THE GAME,GM,T-70065,0,J         ,U               
Dungeon Explorer (Europe),SEGA MEGA DRIVE,(C)T-14,1995.MAR,Dungeon Explorer,Dungeon Explorer for Europe,GM,T-143025,50,J4        ,E               
Dungeon Explorer (USA),SEGA GENESIS,(C)SEGA,1995.MAR,Dungeon Explorer,Dungeon Explorer for USA,GM,MK-4657,,J4        ,U               
Dungeon Master II - Skullkeep (Europe),SEGA GENESIS,(C)T-60,1994 DEC,DUNGEON MASTER II:SKULLKEEP,DUNGEON MASTER II:SKULLKEEP,GM,T-60095,0,J6M       ,E               
Dungeon Master II - Skullkeep (Japan),SEGA MEGA DRIVE,(C)T-60,1994.MAR,SKULLKEEP,SKULLKEEP,GM,T-60144,0,JM        ,J               
Dungeon Master II - Skullkeep (USA) (RE3),SEGA GENESIS,(C)T-60,1994 SEP,DUNGEON MASTER II:SKULLKEEP,DUNGEON MASTER II:SKULLKEEP,GM,T-60085-,0,J6M       ,U               
Dynamic Country Club (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.JUL,DYNAMIC COUNTRY CLUB,,GM,G-6017,0,J4        ,J               
Earnest Evans (Japan),SEGA MEGA DRIVE,(C)T-32,1991.DEC,アーネスト・エバンス,EARNEST EVANS,GM,T-32014,1,J         ,J               
Earthworm Jim - Special Edition (Europe),SEGA GENESIS,(C)T-125,1995.APR,"EARTHWORM JIM, SHINY ENTERTAIN","EARTHWORM JIM, SHINY ENTERTAIN",GM,T-125045,50,J         ,E               
Earthworm Jim - Special Edition (USA) (RE),SEGA GENESIS,(C)T-125,1995.JAN,"EARTHWORM JIM, SHINY ENTERTAIN","EARTHWORM JIM, SHINY ENTERTAIN",GM,T-125045,0,J         ,U               
"Ecco - The Tides of Time (Europe) (En,Fr,De,Es)",SEGA MEGA DRIVE,(C)SEGA,1995.JAN,ECCO THE TIDES OF TIME,ECCO THE TIDES OF TIME,GM,MK-4441,0,J         ,E               
Ecco - The Tides of Time (USA),SEGA GENESIS,(C)SEGA,1994.OCT,ECCO THE TIDES OF TIME,ECCO THE TIDES OF TIME,GM,MK-4441,0,J         ,U               
Ecco - The Tides of Time (USA) (Alt),SEGA GENESIS,(C)SEGA,1994.OCT,ECCO THE TIDES OF TIME,ECCO THE TIDES OF TIME,GM,MK-4441,0,J         ,U               
Ecco the Dolphin (Australia),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,ECCO THE DOLPHIN,ECCO THE DOLPHIN,GM,MK-4408,0,J         ,E               
Ecco the Dolphin (Europe),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,ECCO THE DOLPHIN,ECCO THE DOLPHIN,GM,MK-4408,0,J         ,E               
Ecco the Dolphin (Europe) (Rerelease),SEGA MEGA DRIVE,(C)SEGA,1993.SEP,ECCO THE DOLPHIN,ECCO THE DOLPHIN,GM,MK-4408,0,J         ,E               
Ecco the Dolphin (USA),SEGA GENESIS,(C)SEGA,1993.JUN,ECCO THE DOLPHIN,ECCO THE DOLPHIN,GM,MK-4408,0,J         ,U               
Ecco the Dolphin CD (Japan) (Disc 1) (Ecco the Dolphin),SEGA MEGA DRIVE,(C)SEGA,1994.DEC,ECCO THE DOLPHIN,ECCO THE DOLPHIN,GM,G-6041,,J         ,J               
Ecco the Dolphin CD (Japan) (Disc 2) (Ecco the Dolphin II),SEGA MEGA DRIVE,(C)SEGA,1994.DEC,ECCO THE TIDES OF TIME,ECCO THE TIDES OF TIME,GM,G-6041,,J         ,J               
Egawa Suguru no Super League CD (Japan),SEGA MEGA DRIVE,(C)SEGA,1993.JUL,江川卓のスーパー・リーグＣＤ,,GM,G-6019,0,JC4       ,J               
ESPN Baseball Tonight (Europe),SEGA MEGA DRIVE,(C)T-93,1994.AUG,ESPN BASEBALL TONIGHT,ESPN BASEBALL TONIGHT,GM,T-93115,0,J         ,E               
ESPN Baseball Tonight (USA),SEGA GENESIS,(C)T-93,1994.AUG,ESPN BASEBALL TONIGHT,ESPN BASEBALL TONIGHT,GM,T-93115,0,J         ,U               
ESPN National Hockey Night (USA),SEGA GENESIS,(C)T-93,1994.OCT,ESPN NATIONAL HOCKEY NIGHT,ESPN NATIONAL HOCKEY NIGHT,GM,T-93215,0,J4        ,U               
ESPN NBA Hangtime '95 (USA),SEGA GENESIS,(C)T-93,1995.JAN,ESPN NBA HANGTIME 95,ESPN NBA HANGTIME 95,GM,T-93245,0,J4        ,U               
ESPN Sunday Night NFL (USA),SEGA GENESIS,(C)T-93,1994.NOV,ESPN SUNDAY NIGHT FOOTBALL,ESPN SUNDAY NIGHT FOOTBALL,GM,T-093105,0,J         ,U               
Eternal Champions - Challenge from the Dark Side (Europe),SEGA MEGA DRIVE,(C)SEGA,1995.JUN,ETERNAL CHAMPIONS CD,ETERNAL CHAMPIONS CD,GM,MK-4427,0,J6        ,E               
