Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
3D Lemmings v3.08 (1996)(Psygnosis)(PAL)[!],LEMMINGS 3D,T-11304H,V3.08,SEGA SEGASATURN,SEGA TP T-113,19960530,CD-1/1,J,E
A+M+O+K v1.003 (1997)(Sega)(PAL)(M6)[!],AMOK,MK-81064,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19970108,CD-1/1,JT,E
A+M+O+K v1.010 (1997)(Sega)(US)[!],AMOK,MK-81064,V1.010,SEGA SEGASATURN,SEGA ENTERPRISES,19961213,CD-1/1,JT,U
Actua Golf v1.500 (1996)(Gremlin)(PAL)(M3)[!],ACTUA GOLF,T-12302H,V1.500,SEGA SEGASATURN,SEGA TP T-123,19961024,CD-1/1,JT,E
Actua Soccer - Club Edition v1.100 (1997)(Gremlin)(PAL)[!],ACTUA SOCCER CLUB EDITION,T-12305H,V1.100,SEGA SEGASATURN,SEGA TP T-123,19970429,CD-1/1,J,E
After Burner II v1.001 (1996)(Sega)(JP)(en)[!][Sega Ages],AFTER BURNER 2,GS-9109,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960903,CD-1/1,JAE,JT
Airs Adventure v1.004 (1996)(Game Studio)(JP)[!],AIRSADVENTURE,T-20701G V,1.004,SEGA SEGASATURN,SEGA TP T-207,19961124,CD-1/1,JE,JT
Akumajou Dracula X - Gekka no Yasoukyoku v1.400 (1998)(Konami)(JP)[!],DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
"Akumajou Dracula X - Gekka no Yasoukyoku v1.400 (1998)(Konami)(JP)[tr pt Silva, Rafael]",DRACULA-X,T-9527G,V1.400,SEGA SEGASATURN,SEGA TP T-95,19980427,CD-1/1,J,J
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(DE)[!],ALIEN TRILOGY,T-8113H-18,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960731,CD-1/1,J,E
Alien Trilogy v1.000 (1996)(Acclaim)(PAL)(M4)[!],ALIEN TRILOGY,T-8113H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960729,CD-1/1,J,E
Alone in the Dark - Jack is Back v1.100 (1996)(Infogrames)(PAL)(M5)[!][T-15101HP-00738 A],ALONE IN THE DARK JACK IS BACK,T-15101H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960212,CD-1/1,J,E
Andretti Racing v1.000 (1997)(EA Sports)(PAL)[!],EA_ANDRETTI,T-5020H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961125,CD-1/1,JS,E
Aquazone - Desktop Life v1.000 (1996)(9003)(JP)[!],AQUAZONE CD-ROM,GS-9023,V1.000,SEGA SEGASATURN,SEGA TP T-240,1996-06-28,CD1/1,J,J
Arcana Strikes v1.001 (1997)(Takara)(JP)[!],ARCANE STRIKES,T-10311G,V1.001,SEGA SEGASATURN,SEGA TP T-103,19971017,CD-1/1,J,J
Area 51 v1.000 (1996)(GT Interactive)(PAL)(M4)[!],AREA 51,T-25408H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19961231,CD-1/1,JG,E
Asteroids Terra (2019-03-22)(Nova32 Animation Studios)(MX)(en),JO ENGINE,(unknown),V1.000,SEGA SEGASATURN,JO-ENGINE,20150923,CD-1/1,J,JTUE
Athlete Kings v1.001 (1996)(Sega)(PAL)[!],ATHLETE KINGS,MK-81115,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960719,CD-1/1,J,E
Atlantis - The Lost Tales v1.200 (1998)(Sega)(PAL)(M3)(Disc 1 of 2)[!],ATLANTIS CD1,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-1/2,J,E
Atlantis - The Lost Tales v1.200 (1998)(Sega)(PAL)(M3)(Disc 2 of 2)[!],ATLANTIS CD2,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-2/2,J,E
Baku Baku Animal - Sekai Shiiku Gakari Senshuken v1.001 (1995)(Sega)(JP)[!],BAKUBAKU ANIMAL,GS-9040,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19951110,CD-1/1,J,JT
Baku Baku v1.001 (1996)(Sega)(PAL)[!],BAKU BAKU ANIMAL,MK-81501,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960514,CD-1/1,J,E
Battle Arena Toshinden Remix v1.000 (1996)(Sega)(PAL)[!],Battle Arena Toshinden Remix,MK-81029V1,0,SEGA SEGASATURN,SEGA ENTERPRISES,19960226,CD-1/1,J,E
Battle Monsters v1.000 (1996)(Acclaim)(PAL)[!],BATTLE MONSTERS,T-8137H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960805,CD-1/1,J,E
Bio Hazard v1.002 (1997)(Capcom)(JP)[!],BIO HAZARD,T-1219G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19970624,CD-1/1,J,J
Black Dawn v1.000 (1997)(Virgin)(PAL)[!],BLACKDAWN,T-7027H-50,V1.000,SEGA SEGASATURN,SEGA TP T-70,19970218,CD-1/1,JAT,E
Blam! -Machinehead v1.000 (1996)(Eidos)(PAL)(DE)[!],BLAM!           MACHINEHEAD,T-11505H50,V1.000,SEGA SEGASATURN,SEGA TP T-115,19960830,CD-1/1,J,E
Blam! -Machinehead v1.000 (1996)(Eidos)(PAL)[!],BLAM!           MACHINEHEAD,T-11505H50,V1.000,SEGA SEGASATURN,SEGA TP T-115,19960830,CD-1/1,J,E
Blast Chamber v1.000 (1996)(Activision)(PAL)(M5)[!],BLAST CHAMBER!,T-13003H50,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961217,CD-1/1,JAT,E
Blast Chamber v1.000 (1996)(Activision)(US)[!],BLAST CHAMBER!,T-13003H,V1.000,SEGA SEGASATURN,SEGA TP T-130,19961126,CD-1/1,JAT,U
Blazing Dragons v1.000 (1996)(Crystal Dynamics)(PAL)(DE)[!],BLAZING DRAGONS,T-15913H18,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,E
Blazing Dragons v1.000 (1996)(Mindscape)(US)[!],BLAZING DRAGONS,T-15907H,V1.000,SEGA SEGASATURN,SEGA TP T-159,19960719,CD-1/1,J,U
Bootleg Sampler v1.000 (1996)(Sega)(PAL)[!][MK-81031P-00606 H],BOOTLEG SAMPLER,MK-81031 V,1,SEGA SEGASATURN,SEGA ENTERPRISES,19951107,CD-1/1,J,E
Brain Dead 13 v1.000 (1996)(Coconuts Japan)(JP)[!],BRAINDEAD_13,T-7305G,V1.000,SEGA SEGASATURN,SEGA TP T-73,19960823,CD-1/1,JT,J
Brain Dead 13 v1.000 (1996)(ReadySoft)(US)[!],BRAINDEAD_13,T-12103H,V1.000,SEGA SEGASATURN,SEGA TP T-121,19960819,CD-1/1,JT,U
Break Point v1.001 (1996)(Ocean)(PAL)(en-fr)[!],BREAK POINT,T-16408H,V1.001,SEGA SEGASATURN,SEGA TP T-164,19961028,CD-1/1,JT,E
Bubble Bobble also featuring Rainbow Islands v1.000 (1996)(Acclaim)(PAL)[!],BUBBLE BOBBLE,T-8131H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960812,CD-1/1,J,E
Bug Too! v1.000 (1997)(SegaSoft)(PAL)[!],BUG TOO!,MK-81040,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19970217,CD-1/1,J,E
Bug! v1.019 (1995)(Sega)(PAL)[!],BUG,MK-81004,V1.019,SEGA SEGASATURN,SEGA ENTERPRISES,19950627,CD-1/1,J,E
Burning Rangers v1.003 (1998)(Sega)(JP)[!],BURNING RANGERS,GS-9174,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19980127,CD-1/1,JE,JT
Bust-A-Move 2 - Arcade Edition v1.000 (1996)(Acclaim)(PAL)[!],BUST A MOVE 2,T-8132H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960726,CD-1/1,J,E
Bust-A-Move 3 v1.000 (1997)(Acclaim)(PAL)[!],BUST_A_MOVE_3,T-8155H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19970924,CD-1/1,J,E
Can Can Bunny Premiere v1.002 (1996)(KID)(JP)[!],CAN CAN BUNNY PREMIERE,T-19701G,V1.002,SEGA SEGASATURN,SEGA TP T-197,19960225,CD-1/1,JM,J
Capcom Generation - Dai 1 Shuu Gekitsui-ou no Jidai v1.002 (1998)(Capcom)(JP)[!][compilation],CAPCOM GENERATION VOL.1,T-1232G,V1.002,SEGA SEGASATURN,SEGA TP T-12,19980627,CD-1/1,J,J
Capcom Generation - Dai 3 Shuu Koko ni Rekishi Hajimaru v1.001 (1998)(Capcom)(JP)[!][compilation],CAPCOM GENERATION VOL.3,T-1234G,V1.001,SEGA SEGASATURN,SEGA TP T-12,19980901,CD-1/1,J,J
Capcom Generation - Dai 4 Shuu Kokou no Eiyuu v1.000 (1998)(Capcom)(JP)[!][compilation],CAPCOM GENERATION VOL.4,T-1235G,V1.000,SEGA SEGASATURN,SEGA TP T-12,19980916,CD-1/1,JT,J
Casper v1.003 (1996)(Interplay)(PAL)(M3)[!],CASPER,12512H-50,V1.003,SEGA SEGASATURN,SEGA TP T-125,19960610,CD-1/1,JA,E
Casper v1.003 (1996)(Interplay)(US)[!],CASPER,12512H,V1.003,SEGA SEGASATURN,SEGA TP T-125,19960610,CD-1/1,JA,U
Center Ring Boxing v1.02U (1995)(JVC)(US)[!],THE KING OF BOXING/CENTER RING BOXING,T-6005H,V1.02U,SEGA SEGASATURN,SEGA TP T-60,19950929,CD-1/1,J,U
Chaos Control v1.100 (1996)(Infogrames)(PAL)(M3)[!],CHAOS CONTROL,T-15102H,V1.100,SEGA SEGASATURN,SEGA TP T-151,19960507,CD-1/1,JMG,E
Christmas Nights Into Dreams... v1.000 (1996)(Sega)(PAL)[!],Christmas NiGHTS,610-6483,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19961029,CD-1/1,EJ,E
Clockwork Knight - Pepperouchau no Daibouken Gekan v1.001 (1995)(Sega)(JP)[!],CLOCKWORK KNIGHT Pepperouchau's Adventure volume 2                                                         06:51,GS-9029,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19950705,CD-1/1,J,JT
Clockwork Knight 2 v1.001 (1995)(Sega)(PAL)[!],CLOCKWORK KNIGHT Pepperouchau's Adventure 2                                                                10:00,MK-81021,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19950908,CD-1/1,J,E
Clockwork Knight v1.000 (1995)(Sega)(PAL)[!],CLOCKWORK KNIGHT Pepperouchau's Adventure volume 1 / PAL version                                           15:06,MK-81007,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950405,CD-1/1,J,E
Clockwork Knight v1.002 (1995)(Sega)(US)[!][1008681007 6-95 5SA1],CLOCKWORK KNIGHT Pepperouchau's Adventure volume 1 / USA version                                           11:31,MK-81007,V1.002,SEGA SEGASATURN,SEGA ENTERPRISES,19950328,CD-1/1,J,UT
College Slam v1.000 (1996)(Acclaim)(US)[!],COLLEGE SLAM,T-8111H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19960127,CD-1/1,J,U
Command & Conquer - Teil 1 - Der Tiberiumkonflikt v1.000 (1996)(Virgin)(PAL)(DE)(Disc 1 of 2)[!][GDI],COMMAND AND CONQUER,T-7028H-18,V1.000,SEGA SEGASATURN,SEGA TP T-70,19961028,CD-1/2,J,E
Command & Conquer - Teil 1 - Der Tiberiumkonflikt v1.000 (1996)(Virgin)(PAL)(DE)(Disc 2 of 2)[!][NOD],COMMAND AND CONQUER,T-7028H-18,V1.000,SEGA SEGASATURN,SEGA TP T-70,19961028,CD-2/2,J,E
Command & Conquer v1.000 (1996)(Virgin)(PAL)(M3)(Disc 1 of 2)[!][GDI],COMMAND AND CONQUER,T-7028H-50,V1.000,SEGA SEGASATURN,SEGA TP T-70,19961028,CD-1/2,J,E
Command & Conquer v1.000 (1996)(Virgin)(PAL)(M3)(Disc 2 of 2)[!][NOD],COMMAND AND CONQUER,T-7028H-50,V1.000,SEGA SEGASATURN,SEGA TP T-70,19961028,CD-2/2,J,E
"Conveni, The - Ano Machi o Dokusen Seyo v1.001 (1997)(Human)(JP)[!]",CONVI_STORE,T-4310G,V1.001,SEGA SEGASATURN,SEGA TP T-43,19970214,CD-1/1,J,J
Core Demo Disc v1.000 (1997)(Core)(PAL)[!][aka Saturn Power No. 1],CORE DEMO VOL. 2,610-6576,V1.000,SEGA SEGASATURN,SEGA TP T-115,19970314,CD-1/1,J,E
Crimewave v1.000 (1997)(Eidos)(PAL)(M5)[!],CRIMEWAVE,T-8807H,V1.000,SEGA SEGASATURN,SEGA TP T-88,19961106,CD-1/1,JS,E
Crimewave v1.000 (demo) (1996)(Eidos)(PAL)[!],CRIMEWAVE DEMO,610-6455,V1.000,SEGA SEGASATURN,SEGA TP T-88,19961028,CD-1/1,JST,E
Criticom v1.000 (1996)(Vic Tokai)(US)[!],CRITICOM,T-2302H,V1.000,SEGA SEGASATURN,SEGA TP T-23,19960320,CD-1/1,J,U
Croc - Legend of the Gobbos v1.000 (1997)(Fox)(PAL)[!],CROC         LEGEND OF THE     GOBBOS,T-5029H-50,V1.000,SEGA SEGASATURN,SEGA TP T-161,19970917,CD-1/1,JAT,E
Crusader - No Remorse v1.000 (1997)(Origin)(PAL)[!],CRUSADER,T-5014H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19961203,CD-1/1,J,E
Crypt Killer v1.001 (1997)(Konami)(PAL)[!],CRYPT KILLER,T-9509H-50,V1.001,SEGA SEGASATURN,SEGA TP T-95,19970131,CD-1/1,JAM,E
Cyber Doll v1.400 (1996)(I'MAX)(JP)[!],CYBER DOLL,T-22401G,V1.400,SEGA SEGASATURN,SEGA TP T-224,19960620,CD-1/1,J,J
Cyber Speedway v1.000 (1995)(Sega)(PAL)[!],CYBER SPEEDWAY,MK-81205 V,1,SEGA SEGASATURN,SEGA ENTERPRISES,19950925,CD-1/1,JS,E
Cyber Speedway v1.004 (1995)(Sega)(US)[!],Cyber Speedway,MK-81204V1,0.004,SEGA SEGASATURN,SEGA ENTERPRISES,19950804,CD-1/1,JS,UT
Cyberia v1.000 (1995)(Interplay)(US)(M3)[!],CYBERIA,T-12508H,V1.000,SEGA SEGASATURN,SEGA TP T-125,19951221,CD-1/1,JMA,TU
Cyberia v1.000 (1996)(Interplay)(PAL)(M3)[!],CYBERIA,T-12508H,V1.000,SEGA SEGASATURN,SEGA TP T-125,19960327,CD-1/1,JMA,E
D no Shokutaku v1.000 (1995)(Acclaim)(JP)(Disc 1 of 2)[!],D,T-8101G  V,1,SEGA SEGASATURN,SEGA TP T-81,19950706,CD-1/2,J,JT
D no Shokutaku v1.000 (1995)(Acclaim)(JP)(Disc 2 of 2)[!],D,T-8101G  V,1,SEGA SEGASATURN,SEGA TP T-81,19950706,CD-1/2,J,JT
D v1.000 (1995)(Acclaim)(PAL)(DE)(Disc 1 of 2)[!],D,T-8106H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19951129,CD-1/2,J,E
D v1.000 (1995)(Acclaim)(PAL)(DE)(Disc 2 of 2)[!],D,T-8106H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19951129,CD-2/2,J,E
D v1.000 (1995)(Acclaim)(PAL)(Disc 1 of 2)[!],D,T-8106H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19951128,CD-1/2,J,E
D v1.000 (1995)(Acclaim)(PAL)(Disc 2 of 2)[!],D,T-8106H-50,V1.000,SEGA SEGASATURN,SEGA TP T-81,19951128,CD-2/2,J,E
D v1.000 (1996)(Acclaim)(US)(Disc 2 of 2)[!],D,T-8106H,V1.000,SEGA SEGASATURN,SEGA TP T-81,19951216,CD-2/2,J,U
"Darius Gaiden v1.001 (1995)(Taito)(JP)(en)[!][T-1102GP-00592 2MB2, 2MM1]",DARIUS GAIDEN,T-1102G,V1.001,SEGA SEGASATURN,SEGA TP T-11,19951110,CD-1/1,J,JT
Darius II v1.000 (1996)(Sega)(PAL)[!],DARIUS2,MK-81085,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960829,CD-1/1,J,E
Dark Legend v1.002 (1995)(Data East)(US)[!],U:DARK LEGEND                                   J:SUIKO ENBU,T-1305H,V1.002,SEGA SEGASATURN,SEGA TP T-13,19951002,CD-1/1,J,U
Dark Savior v1.000 (1997)(Sega)(PAL)[!],DARK SAVIOR,MK-81304,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19961216,CD-1/1,JAE,E
Darklight Conflict v1.000 (1997)(Electronic Arts)(PAL)(M6)[!],DARK LIGHT      CONFLICT,T-5022H,V1.000,SEGA SEGASATURN,SEGA TP T-50,19970906,CD-1/1,JA,E
Darkseed v1.001 (1995)(GAGA)(JP)[!],DARK SEED,T-18501G,V1.001,SEGA SEGASATURN,SEGA TP T-185,19950530,CD-1/1,JM,J
Daytona USA - Championship Circuit Edition v1.001 (1996)(Sega)(US)[!][SATURN81213 P1H],DAYTONA USA CHAMPIONSHIP CIRCUIT EDITION,MK-81213,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19961101,CD-1/1,JSE,U
Daytona USA - Championship Circuit Edition v1.006 (1996)(Sega)(PAL)[!],DAYTONA USA CHAMPIONSHIP CIRCUIT EDITION,MK-81213,V1.006,SEGA SEGASATURN,SEGA ENTERPRISES,19961020,CD-1/1,JSE,E
Daytona USA - Circuit Edition v1.001 (1997)(Sega)(JP)(en)[!],DAYTONA USA CIRCUIT EDITION,GS-9100,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19961204,CD-1/1,JSECDX,JT
Daytona USA v1.000 (1995)(Sega)(JP)(en)[!],DAYTONA USA,GS-9013,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950301,CD-1/1,JS,JT
Daytona USA v1.000 (1995)(Sega)(PAL)[!][MK-81200P-00338 B],DAYTONA USA,MK_8120050,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950501,CD-1/1,JS,E
Daytona USA v1.000 (1995)(Sega)(PAL)[!][MK-81200P-338 5-95 1SB1],DAYTONA USA,MK_8120050,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950501,CD-1/1,JS,E
Daytona USA v1.000 (1995)(Sega)(PAL)[!][MK-81200P-338],DAYTONA USA,MK_8120050,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950501,CD-1/1,JS,E
Daytona USA v1.000 (1995)(Sega)(US)[!][1008681200],DAYTONA USA,MK-81200,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19950317,CD-1/1,JS,BKUT
"Dead or Alive v1.001 (1997)(Tecmo)(JP)[!][T-3603GP-01863 2M5, 2MM1]",DEAD OR ALIVE,T-3603G,V1.001,SEGA SEGASATURN,SEGA TP T-36,19970910,CD-1/1,J,J
Decathlete v1.000 (1996)(Sega)(US)[!],DECATHLETE,MK-81115,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19960611,CD-1/1,J,UTJ
"DecAthlete v1.001 (1996)(Sega)(JP)[!][GS-9096P-00915 1A5, 2MM1]",DECATHLETE,GS-9096,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19960607,CD-1/1,J,JT
Deep Fear v1.001 (1998)(Sega)(PAL)(Disc 1 of 2)[!],DEEP FEAR,MK-81804,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19980713,CD-1/2,JE,E
Deep Fear v1.001 (1998)(Sega)(PAL)(Disc 2 of 2)[!],DEEP FEAR,MK-81804,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19980713,CD-2/2,JE,E
Deep Fear v1.017 (1998)(Sega)(JP)(Disc 1 of 2)[!],DEEP FEAR,GS-9189,V1.017,SEGA SEGASATURN,SEGA ENTERPRISES,19980610,CD-1/2,JE,JT
Deep Fear v1.017 (1998)(Sega)(JP)(Disc 2 of 2)[!],DEEP FEAR,GS-9189,V1.017,SEGA SEGASATURN,SEGA ENTERPRISES,19980610,CD-2/2,JE,JT
Defcon 5 v1.000 (1995)(Data East)(US)[!],DEFCON 5,T-1301G,V1.000,SEGA SEGASATURN,SEGA TP T-13,19951221,CD-1/1,J,U
"Dennou Senki - Virtual On - Cyber Troopers v1.000 (1996)(Sega)(JP)(en)[!][GS-9099P-01150-P1K, P2K]",VIRTUAL-ON,GS-9099,V1.000,SEGA SEGASATURN,SEGA ENTERPRISES,19961018,CD-1/1,J,JT
Dennou Senki - Virtual On - Cyber Troopers v1.003 (1996)(Sega)(JP)(en)[!][GS-9099P-01150A-P1K],VIRTUAL-ON,GS-9099,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19970116,CD-1/1,J,JT
Densetsu no Ogre Battle - Ogre Battle Saga Episode Five - The March of the Black Queen v1.001 (1996)(Riverhill Soft)(JP)[!],OGRE BATTLE,T-5305G,V1.001,SEGA SEGASATURN,SEGA TP T-53,19960922,CD-1/1,JC,J
Derby Analyst v1.001 (1997)(Bull's Eye)(JP)[!],DERBY ANALYST,T-20505G,V1.001,SEGA SEGASATURN,SEGA TP T-205,19970409,CD-1/1,J,J
Derby Stallion v1.001 (1999)(ASCII)(JP)[!],DERBY STALLION,T-2113G,V1.001,SEGA SEGASATURN,SEGA TP T-21,19990217,CD-1/1,J,J
Destruction Derby v2.900 (1996)(Psygnosis)(PAL)[!],DESTRUCTION     DERBY,T-11303H,V2.900,SEGA SEGASATURN,SEGA TP T-113,19960728,CD-1/1,JS,E
Detana Twinbee Yahho! Deluxe Pack v1.001 (1995)(Konami)(JP)[!][compilation],TWINBEE-YAHHO-DX,T-9505G,V1.001,SEGA SEGASATURN,SEGA TP T-95,19950817,CD-1/1,J,JT
Devil Summoner - Soul Hackers v1.002 (1997)(Atlus)(JP)(Disc 1 of 2)[!][T-14420GP-01936-P1C],DEVIL SUMMONER SOUL HACKERS,T-14420G,V1.002,SEGA SEGASATURN,SEGA TP T-144,19971015,CD-1/2,J,J
Devil Summoner - Soul Hackers v1.002 (1997)(Atlus)(JP)(Disc 2 of 2)[!],DEVIL SUMMONER SOUL HACKERS,T-14420G,V1.002,SEGA SEGASATURN,SEGA TP T-144,19971015,CD-2/2,J,J
Die Hard Arcade v1.001 (1996)(Sega)(US)[!],DIE HARD ARCADE,MK-81057,V1.001,SEGA SEGASATURN,SEGA ENTERPRISES,19961101,CD-1/1,J,U
Die Hard Arcade v1.002 (1997)(Sega)(PAL)[!],DIE HARD ARCADE,MK-81057,V1.002,SEGA SEGASATURN,SEGA ENTERPRISES,19961113,CD-1/1,J,E
Die Hard Trilogy v1.000 (1996)(Fox)(PAL)(M6)[!],Die Hard Trilogy,T-16103H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19961219,CD-1/1,JGMSAE,EAL
Die Hard Trilogy v1.000 (1996)(Fox)(US)[!],Die Hard Trilogy,T-16103H,V1.000,SEGA SEGASATURN,SEGA TP T-161,19961121,CD-1/1,JGMSA,TUK
